time,char1_food,char1_drink,char1_sleep,char1_stress,char2_food,char2_drink,char2_sleep,char2_stress
0.98,237.2221,77.22214,157.2221,0,237.2221,77.22214,157.2221,0
2.00,234.4443,74.44427,154.4443,0,234.4443,74.44427,154.4443,0
3.00,231.6664,71.66641,151.6664,0,231.6664,71.66641,151.6664,0
4.01,215.4997,55.49966,148.833,10,215.4997,64.77772,148.833,10
5.02,212.7218,79.83333,146.0551,10,212.7218,61.99986,146.0551,10
6.02,209.9439,79.88889,143.2773,10,209.9439,59.22199,143.2773,10
7.02,207.1661,79.16664,140.4994,10,207.1661,56.44413,140.4994,10
8.04,204.2771,79.27776,137.6104,10,204.2771,79.27776,137.6104,10
9.05,201.4992,77.88882,134.8326,10,201.4992,77.61104,134.8326,10
10.05,198.7214,75.11096,132.0547,10,239.4444,74.83318,132.0547,10
11.06,195.9435,72.3331,129.2768,10,238.7777,72.05531,129.2768,10
12.07,193.1101,69.49968,126.4434,10,235.9443,69.22189,126.4434,10
13.09,190.2767,66.66626,123.61,10,219.7776,53.05514,123.61,20
14.09,187.4988,63.8884,120.8321,10,216.9997,50.27728,120.8321,20
15.11,184.6654,61.05498,117.9987,10,214.1663,47.44386,117.9987,20
16.11,181.8875,58.27711,115.2209,10,211.3884,79.33331,115.2209,20
17.13,179.0541,55.4437,112.3874,10,208.555,76.49989,112.3874,20
18.13,176.2762,52.66583,109.6096,10,205.7771,79.55554,109.6096,20
19.13,173.4984,49.88797,106.8317,10,202.9993,76.77768,106.8317,20
20.14,170.7205,78.16661,104.0538,10,200.2214,73.99982,104.0538,20
21.14,167.9427,77.94438,101.276,10,197.4436,71.22195,101.276,20
22.16,151.7759,61.77763,98.44257,20,194.6101,80,98.44257,20
23.16,239.7778,58.99976,95.6647,20,191.8323,77.83327,95.6647,20
24.17,238.0555,56.16634,92.83128,20,188.9989,77.72215,92.83128,20
25.17,235.2776,53.38848,90.05342,20,186.221,74.94429,90.05342,20
26.17,232.4998,78.11105,87.27556,20,183.4431,78.11105,87.27556,20
27.17,229.7219,79.05553,84.4977,20,180.6653,80,84.4977,20
28.17,226.944,77.6666,81.71983,20,177.8874,77.22214,81.71983,20
29.18,210.8329,79.88889,78.94197,30,175.1095,78.77774,78.94197,20
30.18,208.055,79.94444,76.16411,30,172.3317,77.88882,76.16411,20
31.18,205.2771,77.16658,73.38625,30,169.5538,78.4444,73.38625,20
32.18,202.4437,78.27773,70.55283,30,166.7204,75.61098,70.55283,20
33.18,199.6658,80,67.77496,30,163.9425,72.83311,67.77496,20
34.18,196.888,79.83333,64.9971,30,161.1647,70.05525,64.9971,20
35.19,194.1101,79.38887,62.21924,30,158.3868,67.27739,62.21924,20
36.20,191.2767,76.55545,59.38582,30,155.5534,64.44397,59.38582,20
37.21,188.4988,73.77759,56.60796,30,152.7755,61.66611,56.60796,20
38.21,185.721,70.99973,53.83009,30,229.9977,58.88824,53.83009,20
39.21,182.9431,78.8333,51.05223,30,239.4444,56.11038,51.05223,20
40.21,180.1653,76.05544,48.27437,30,236.6666,53.33252,48.27437,20
