time,char1_food,char1_drink,char1_sleep,char1_stress,char2_food,char2_drink,char2_sleep,char2_stress
0.98,237.2221,80,157.2221,0,237.2221,78.72218,157.2221,0
1.99,234.4443,78.61107,154.4443,0,234.4443,79.55554,154.4443,0
3,231.6109,77.83327,151.6109,0,231.6109,78.33328,151.6109,0
4.01,238.2777,75.0554,148.833,0,228.833,79.55554,148.833,0
5.01,235.4999,77.33325,146.0551,0,226.0551,78.11105,146.0551,0
6.01,232.722,74.55539,143.2773,0,223.2773,75.33319,143.2773,0
7.02,229.9441,71.77753,140.4994,0,220.4994,72.55533,140.4994,0
8.04,227.1107,77.99994,137.666,0,217.666,69.72191,137.666,0
9.04,224.2773,77.88882,134.8326,0,239.1666,66.88849,134.8326,0
10.04,208.1661,61.77763,132.0547,10,236.3888,64.11063,132.0547,0
11.06,240,78.66663,129.2213,10,238.7222,77.33325,129.2213,0
12.06,239.7222,75.88876,126.4434,10,235.9443,74.55539,126.4434,0
13.07,237.9444,79.94444,123.6656,10,233.1665,71.77753,123.6656,0
14.08,235.111,78.99997,120.8321,10,230.333,68.94411,120.8321,0
15.08,232.3331,76.22211,118.0543,10,227.5552,66.16624,118.0543,0
16.09,229.5552,79.38887,115.2764,10,224.7773,63.38838,115.2764,0
17.1,226.7218,76.55545,112.443,10,208.6106,47.22163,112.443,10
18.11,223.944,73.77759,109.6651,10,205.8327,44.44377,109.6651,10
19.13,221.1105,70.94417,106.8317,10,202.9993,41.61035,106.8317,10
20.13,218.3327,68.16631,159.7778,0,200.2214,78.16661,104.0538,10
21.13,215.5548,65.38844,159.7778,0,197.4436,75.38875,101.276,10
22.15,212.7214,62.55502,160,0,194.6101,78.16661,98.44257,10
23.15,209.9435,59.77716,159.8889,0,239.7778,75.38875,95.6647,10
24.15,207.1657,56.9993,159.7222,0,237.7777,72.61089,92.88684,10
25.15,204.3878,54.22144,158.8333,0,234.9998,69.83302,90.10898,10
26.16,201.5544,51.38802,155.9999,0,232.1664,78.11105,87.27556,10
27.17,198.7765,48.61015,153.222,0,229.3886,78.0555,84.4977,10
28.17,195.9987,45.83229,150.4442,0,226.6107,75.27763,81.71983,10
29.17,193.2208,43.05443,159.4444,0,223.8328,78.77774,78.94197,10
30.18,190.4429,40.27657,159,0,221.055,77.88882,76.16411,10
31.18,187.6095,37.44315,160,0,218.2216,78.38884,73.33069,10
32.19,184.8316,34.66528,159.8889,0,215.4437,79.33331,70.55283,10
33.19,182.0538,31.88743,159.3889,0,212.6658,76.55545,67.77496,10
34.19,179.2759,29.10966,159.1666,0,209.888,73.77759,64.9971,10
35.19,176.4981,26.33189,159.1666,0,207.1101,79.38887,62.21924,10
36.2,173.6646,23.49857,157.7222,0,204.2767,76.55545,59.38582,10
37.21,170.8868,20.7208,157.7222,0,201.4988,73.77759,56.60796,10
38.23,168.0534,17.88748,154.8887,0,198.6654,79.05553,53.77454,10
39.23,165.2755,15.10971,160,0,195.8875,77.44437,50.99667,10
40.24,162.4421,12.27639,157.7222,0,193.0541,74.61095,48.16325,10
41.26,159.6087,9.443068,157.4999,8.999996,190.2207,71.77753,45.32983,10
42.27,156.8308,6.6653,154.7221,19,187.4428,68.99966,42.55197,10
43.27,154.0529,3.887532,151.9442,29.00004,184.665,66.2218,39.77411,10
44.29,151.2195,1.054198,149.1108,39.20008,168.4982,50.05505,36.94069,20
45.29,,,,,165.7204,79.38887,34.16283,20
46.31,,,,,162.8869,76.55545,31.32943,20
47.33,,,,,160.0535,79.49998,28.49611,20
48.35,,,,,157.2201,79.77777,25.66279,20
49.35,,,,,154.4422,79.44443,22.88502,20
50.35,,,,,151.6644,76.66656,20.10725,20
51.37,,,,,148.831,73.83315,17.27393,20
52.37,,,,,146.0531,78.4444,160,20
53.37,,,,,143.2752,77.55548,157.7222,20
54.4,,,,,140.4418,79.88889,157.4999,20
55.41,,,,,137.6084,79.38887,154.7221,20
56.41,,,,,134.8305,79.77777,151.9442,20
57.44,,,,,131.9971,78.55551,149.1108,20
